TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,POP_ESTIMATE_2018,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,POVALL_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Total nurse practitioners (2019),Total physician assistants (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),Total Population,Population Aged 60+,county_pop2018_18 and older,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number,Heart disease_number
26625.0,3221.0,3463.0,2922.0,2829.0,2831.0,3831.0,3860.0,2460.0,1208.0,25313.0,26625.0,6396.0,5727.0,3406.0,4070.0,12456.0,11696.0,760.0,11.77305929,10.07635369,16.04279098,54.0788287,26317.0,7218.0,20545.0,10213.0,7930.0,2314.0,2823.0,771.0,2072
51266.0,5272.0,5751.0,5137.0,5341.0,5880.0,7885.0,8271.0,4801.0,2928.0,49662.0,51266.0,18496.0,9051.0,6742.0,7537.0,22421.0,21317.0,1104.0,28.03264746,22.69271433,28.83724008,107.1469191,52880.0,15253.0,41304.0,19282.0,13713.0,4097.0,5416.0,1454.0,3796
37779.0,3915.0,5118.0,6202.0,4363.0,4451.0,5107.0,4349.0,2713.0,1561.0,35248.0,37779.0,10860.0,7263.0,3984.0,3978.0,16882.0,16245.0,637.0,19.49391292,4.770447847,18.75999787,49.14972658,37543.0,8058.0,30379.0,14283.0,10238.0,2792.0,3698.0,871.0,2222
91984.0,11163.0,12646.0,11595.0,11357.0,11444.0,12774.0,10791.0,6736.0,3478.0,69216.0,91984.0,19984.0,21265.0,14803.0,8855.0,44792.0,43309.0,1483.0,26.38392586,30.04641601,52.7211958,108.7549623,90098.0,19479.0,70506.0,33057.0,25735.0,5716.0,7913.0,2118.0,5484
134487.0,16698.0,17666.0,17281.0,15993.0,15845.0,17982.0,16909.0,10074.0,6039.0,109628.0,134487.0,33106.0,30526.0,19318.0,22602.0,62865.0,60219.0,2646.0,59.46754649,50.89722362,81.03462274,273.1605422,134327.0,31227.0,103686.0,49754.0,38882.0,10002.0,12987.0,3490.0,8686
883305.0,72007.0,60660.0,151437.0,183382.0,120821.0,107395.0,93694.0,54600.0,39309.0,467444.0,883305.0,84630.0,131509.0,394004.0,87596.0,575567.0,562022.0,13545.0,344.1931335,176.7858465,339.3698743,1312.350762,864263.0,179193.0,764613.0,182564.0,128455.0,28886.0,67258.0,17872.0,35077
20299.0,2435.0,2532.0,2443.0,2283.0,2367.0,2949.0,2664.0,1826.0,800.0,14106.0,20299.0,5932.0,4124.0,1470.0,4128.0,9182.0,8778.0,404.0,9.291308264,6.419975617,6.582066976,24.67647977,20809.0,5131.0,15759.0,7266.0,5185.0,1669.0,2438.0,608.0,1433
2801.0,361.0,402.0,277.0,350.0,287.0,331.0,377.0,232.0,184.0,2633.0,2801.0,607.0,592.0,372.0,276.0,1557.0,1512.0,45.0,1.501723464,1.282655982,1.717616055,3.04154562,2739.0,732.0,2106.0,850.0,640.0,128.0,216.0,64.0,165
628195.0,64634.0,77403.0,70438.0,73278.0,78076.0,99861.0,84949.0,49074.0,30482.0,555198.0,628195.0,128245.0,109517.0,180201.0,35350.0,341069.0,328286.0,12783.0,343.5019111,278.0683041,353.3610977,1312.939548,626486.0,151809.0,499979.0,196424.0,148994.0,31984.0,53389.0,13632.0,31557
4341.0,454.0,543.0,567.0,652.0,457.0,533.0,527.0,348.0,260.0,3927.0,4341.0,1412.0,881.0,391.0,915.0,1624.0,1534.0,90.0,2.117229511,1.102119472,2.351326316,5.995364193,4426.0,1149.0,3436.0,1660.0,1227.0,201.0,492.0,129.0,260
284081.0,36179.0,36896.0,35589.0,34363.0,34061.0,38394.0,34718.0,21439.0,12442.0,227365.0,284081.0,62181.0,64375.0,43910.0,45006.0,141196.0,133101.0,8095.0,110.6573385,55.56278212,134.9827781,476.7875332,287512.0,65218.0,217591.0,93017.0,71587.0,18791.0,25818.0,7194.0,16890
8758.0,1177.0,1243.0,1004.0,955.0,1121.0,1202.0,1027.0,719.0,310.0,8464.0,8758.0,2480.0,1809.0,636.0,1038.0,4089.0,3919.0,170.0,5.750595403,1.932545013,3.72397112,12.65366187,8700.0,1996.0,6520.0,3322.0,2523.0,775.0,914.0,217.0,640
1952.0,269.0,260.0,145.0,218.0,185.0,274.0,336.0,176.0,89.0,1854.0,1952.0,415.0,516.0,245.0,198.0,873.0,837.0,36.0,1.173649512,0.582972515,1.507510423,2.319049254,1822.0,608.0,1461.0,710.0,539.0,111.0,178.0,48.0,130
180454.0,19474.0,20336.0,21530.0,21389.0,22063.0,24637.0,26324.0,15745.0,8956.0,159858.0,180454.0,50266.0,34460.0,33388.0,30248.0,82263.0,78000.0,4263.0,94.1326037,66.75220729,124.0112115,280.0994566,187827.0,49628.0,144442.0,75463.0,54021.0,17475.0,21166.0,5256.0,15219
11964.0,1486.0,1569.0,1242.0,1251.0,1260.0,1725.0,1699.0,1024.0,708.0,11710.0,11964.0,3627.0,2650.0,1412.0,1019.0,6407.0,6234.0,173.0,7.285726099,3.23346741,8.191703486,15.49259239,12140.0,3281.0,9149.0,3877.0,3202.0,685.0,1022.0,287.0,734
826.0,89.0,108.0,67.0,84.0,72.0,117.0,152.0,85.0,52.0,769.0,826.0,229.0,165.0,148.0,150.0,369.0,352.0,17.0,0.391887452,0.304023797,0.456424473,0.895742748,747.0,281.0,651.0,273.0,205.0,52.0,80.0,23.0,59
19102.0,2114.0,2266.0,2440.0,2421.0,2298.0,2625.0,2570.0,1455.0,913.0,18188.0,19102.0,6388.0,3732.0,2028.0,2167.0,9323.0,8979.0,344.0,9.856606172,2.412056825,9.485520507,24.85132156,19229.0,4691.0,15089.0,6984.0,5236.0,1575.0,1963.0,486.0,1293
678701.0,78747.0,85588.0,95507.0,97313.0,81193.0,86148.0,80603.0,48038.0,25564.0,571760.0,678701.0,107599.0,146410.0,157155.0,109959.0,329380.0,314530.0,14850.0,331.0218352,172.3127361,367.6220968,937.3553727,674855.0,140933.0,531331.0,199236.0,145053.0,31913.0,60774.0,16872.0,32977
580233.0,61097.0,66378.0,74304.0,86547.0,74852.0,81341.0,73792.0,40954.0,20968.0,532081.0,580233.0,84351.0,121561.0,180236.0,39799.0,334242.0,324124.0,10118.0,294.9268123,228.9121062,277.4043903,742.56357,564029.0,124374.0,465718.0,139023.0,103855.0,23563.0,33878.0,11726.0,23840
40571.0,5585.0,5999.0,5666.0,5255.0,4756.0,4875.0,4257.0,2782.0,1396.0,26715.0,40571.0,8886.0,7942.0,4257.0,7636.0,19337.0,18561.0,776.0,18.57025802,12.83141193,13.15537905,49.32013698,40531.0,8091.0,30551.0,14902.0,11243.0,2860.0,4348.0,1092.0,2457
26887.0,3826.0,3957.0,3295.0,3331.0,3147.0,3314.0,3008.0,1980.0,1029.0,18841.0,26887.0,6784.0,4696.0,2790.0,6615.0,11945.0,11251.0,694.0,12.30678385,8.50356591,8.718263697,32.6851821,27160.0,5815.0,19774.0,9774.0,7158.0,2122.0,3171.0,781.0,1790
13033.0,1920.0,1863.0,1609.0,1389.0,1370.0,1634.0,1659.0,1033.0,556.0,10247.0,13033.0,2981.0,2524.0,1550.0,2431.0,4990.0,4745.0,245.0,4.495414842,2.653202921,4.364639137,15.39248205,12670.0,3038.0,9570.0,4991.0,3723.0,880.0,1479.0,366.0,903
3653.0,553.0,498.0,407.0,403.0,360.0,451.0,463.0,308.0,210.0,3266.0,3653.0,771.0,675.0,467.0,723.0,1466.0,1413.0,53.0,1.260013076,0.743662263,1.22335815,4.314335681,3753.0,948.0,2688.0,1265.0,952.0,245.0,405.0,104.0,260
93224.0,10172.0,11310.0,15409.0,11251.0,10663.0,11044.0,11359.0,7716.0,4300.0,85022.0,93224.0,21011.0,18606.0,16322.0,17242.0,41287.0,39332.0,1955.0,48.62966655,34.48473169,64.06519765,144.7016511,96100.0,22787.0,74829.0,40375.0,28435.0,8960.0,10298.0,2530.0,7342
8732.0,854.0,1142.0,1377.0,1146.0,1321.0,1022.0,911.0,615.0,344.0,7325.0,8732.0,2507.0,1203.0,969.0,1521.0,2847.0,2756.0,91.0,5.067180298,2.497923103,3.39451884,11.93124176,8684.0,1667.0,6961.0,3429.0,2555.0,810.0,959.0,254.0,690
23771.0,2878.0,3034.0,2326.0,2823.0,2739.0,3680.0,3448.0,1867.0,976.0,23007.0,23771.0,5800.0,5863.0,4022.0,1933.0,13933.0,13570.0,363.0,12.43429354,7.523544921,13.39518107,37.60545796,23576.0,5649.0,18326.0,8012.0,6487.0,1220.0,1793.0,538.0,1293
127939.0,13850.0,16480.0,15923.0,14081.0,14123.0,18031.0,17866.0,10728.0,6857.0,119804.0,127939.0,32222.0,28129.0,19522.0,22426.0,54993.0,52227.0,2766.0,82.56173747,58.22072249,42.42328592,320.1910599,130846.0,33458.0,101942.0,47370.0,35068.0,10253.0,12684.0,3571.0,9013
131349.0,13688.0,15778.0,15629.0,14788.0,16566.0,19127.0,17668.0,12167.0,5938.0,123234.0,131349.0,31875.0,27833.0,22022.0,12816.0,62275.0,60266.0,2009.0,111.5203747,23.12670262,48.23236805,196.014326,127135.0,32770.0,104790.0,51164.0,38982.0,10575.0,13065.0,3383.0,9041
45313.0,4915.0,5739.0,4922.0,5299.0,5400.0,6548.0,6375.0,3729.0,2386.0,43991.0,45313.0,12488.0,10691.0,6262.0,5740.0,23066.0,21934.0,1132.0,17.65065591,8.862670668,21.53074166,76.05110336,45960.0,12200.0,35669.0,16090.0,11842.0,3341.0,4045.0,1160.0,2923
4599.0,662.0,600.0,570.0,445.0,499.0,612.0,551.0,409.0,251.0,4514.0,4599.0,1386.0,801.0,342.0,764.0,1977.0,1895.0,82.0,2.565070778,0.499201659,2.053858253,8.156129355,4450.0,1136.0,3443.0,1697.0,1281.0,391.0,453.0,122.0,334
903.0,110.0,133.0,77.0,125.0,92.0,117.0,119.0,90.0,40.0,865.0,903.0,157.0,210.0,149.0,70.0,436.0,423.0,13.0,0.311467782,0.183828914,0.302406901,1.06647827,889.0,255.0,683.0,323.0,239.0,57.0,86.0,23.0,61
102663.0,12743.0,14003.0,13849.0,11875.0,11714.0,13423.0,12866.0,7448.0,4742.0,85398.0,102663.0,26653.0,22997.0,12347.0,13901.0,47855.0,45708.0,2147.0,53.03776322,19.63776098,47.47841497,200.083842,104157.0,24080.0,78996.0,37247.0,28992.0,7559.0,10254.0,2575.0,6669
830839.0,92020.0,106944.0,110616.0,105527.0,105957.0,124326.0,98505.0,54298.0,32646.0,713678.0,830839.0,158830.0,148585.0,202881.0,72636.0,450670.0,434714.0,15956.0,754.0224785,260.729995,237.257073,2494.389176,818249.0,170081.0,656107.0,257886.0,205361.0,39053.0,61478.0,17828.0,40556
54811.0,4909.0,5511.0,5568.0,5902.0,6264.0,8278.0,9423.0,5996.0,2960.0,52568.0,54811.0,13350.0,12208.0,13358.0,6233.0,29407.0,28291.0,1116.0,45.04775837,22.76959423,45.78490351,91.89742708,54468.0,16940.0,45447.0,19053.0,13952.0,3806.0,5000.0,1505.0,3913
51823.0,4645.0,5168.0,5313.0,5017.0,5374.0,7699.0,8415.0,6635.0,3557.0,43045.0,51823.0,12372.0,11291.0,11907.0,5300.0,25525.0,23475.0,2050.0,28.66992784,19.73362368,14.7080246,117.7671101,51559.0,17655.0,42920.0,19687.0,15623.0,3671.0,5992.0,1530.0,3783
